time, r_des, r_act, th_des, th_act,dr_des, dr_act, dth_des, dth_act, tau_HAA, tau_HFE, tau_KFE, phase, event, touch 
0.0133,0.3536,0.368061,1.36394,1.3257,0,0.0254422,0,-9.38148,0,11.8788,-13.718,0,0,0
0.0134,0.3536,0.368218,1.36394,1.32532,0,0.0256728,0,-9.37231,0,12.0268,-13.1002,0,0,0
0.0135,0.3536,0.368375,1.36394,1.32494,0,0.0259044,0,-9.36203,0,12.1741,-12.4839,0,0,0
0.0136,0.3536,0.368532,1.36394,1.32456,0,0.0261372,0,-9.35063,0,12.321,-11.8694,0,0,0
0.0137,0.3536,0.368689,1.36394,1.32418,0,0.026371,0,-9.33813,0,12.4672,-11.2567,0,0,0
0.0138,0.3536,0.368845,1.36394,1.3238,0,0.0266058,0,-9.32454,0,12.6128,-10.6459,0,0,0
0.0139,0.3536,0.369001,1.36394,1.32343,0,0.0268416,0,-9.30986,0,12.7578,-10.0369,0,0,0
0.014,0.3536,0.369157,1.36394,1.32306,0,0.0270785,0,-9.2941,0,12.9022,-9.43004,0,0,0
0.0141,0.3536,0.369312,1.36394,1.32269,0,0.0273165,0,-9.27728,0,13.0458,-8.82511,0,0,0
0.0142,0.3536,0.369467,1.36394,1.32232,0,0.0275553,0,-9.25939,0,13.1888,-8.2224,0,0,0
0.0143,0.3536,0.369621,1.36394,1.32196,0,0.0277953,0,-9.24045,0,13.3309,-7.62195,0,0,0
0.0144,0.3536,0.369775,1.36394,1.3216,0,0.0280361,0,-9.22046,0,13.4724,-7.02392,0,0,0
0.0145,0.3536,0.369929,1.36394,1.32124,0,0.028278,0,-9.19943,0,13.6131,-6.428,0,0,0
0.0146,0.3536,0.370082,1.36394,1.32088,0,0.0285208,0,-9.17738,0,13.7529,-5.8346,0,0,0
0.0147,0.3536,0.370235,1.36394,1.32052,0,0.0287645,0,-9.1543,0,13.8919,-5.2436,0,0,0
0.0148,0.3536,0.370387,1.36394,1.32017,0,0.029009,0,-9.13021,0,14.0301,-4.65511,0,0,0
0.0149,0.3536,0.370539,1.36394,1.31982,0,0.0292546,0,-9.10512,0,14.1674,-4.0694,0,0,0
0.015,0.3536,0.37069,1.36394,1.31948,0,0.029501,0,-9.07903,0,14.3037,-3.4863,0,0,0
0.0151,0.3536,0.37084,1.36394,1.31913,0,0.0297482,0,-9.05196,0,14.4391,-2.90602,0,0,0
0.0152,0.3536,0.37099,1.36394,1.31879,0,0.0299964,0,-9.02391,0,14.5735,-2.32843,0,0,0
0.0153,0.3536,0.37114,1.36394,1.31845,0,0.0302453,0,-8.99489,0,14.707,-1.75386,0,0,0
0.0154,0.3536,0.371289,1.36394,1.31812,0,0.030495,0,-8.96491,0,14.8395,-1.18197,0,0,0
0.0155,0.3536,0.371437,1.36394,1.31779,0,0.0307455,0,-8.93399,0,14.9709,-0.613171,0,0,0
0.0156,0.3536,0.371585,1.36394,1.31746,0,0.0309968,0,-8.90212,0,15.1013,-0.0475906,0,0,0
0.0157,0.3536,0.371732,1.36394,1.31713,0,0.0312488,0,-8.86932,0,15.2305,0.515148,0,0,0
0.0158,0.3536,0.371878,1.36394,1.31681,0,0.0315014,0,-8.8356,0,15.3587,1.07461,0,0,0
0.0159,0.3536,0.372024,1.36394,1.31649,0,0.031755,0,-8.80097,0,15.4858,1.63084,0,0,0
0.016,0.3536,0.372169,1.36394,1.31618,0,0.0320091,0,-8.76543,0,15.6117,2.1839,0,0,0
0.0161,0.3536,0.372314,1.36394,1.31586,0,0.0322638,0,-8.729,0,15.7364,2.73358,0,0,0
0.0162,0.3536,0.372458,1.36394,1.31555,0,0.0325191,0,-8.69168,0,15.86,3.27991,0,0,0
0.0163,0.3536,0.372601,1.36394,1.31525,0,0.0327749,0,-8.65349,0,15.9824,3.82274,0,0,0
0.0164,0.3536,0.372743,1.36394,1.31495,0,0.0330315,0,-8.61444,0,16.1035,4.36218,0,0,0
0.0165,0.3536,0.372885,1.36394,1.31465,0,0.0332885,0,-8.57453,0,16.2233,4.89806,0,0,0
0.0166,0.3536,0.373025,1.36394,1.31435,0,0.0335461,0,-8.53378,0,16.3419,5.43041,0,0,0
0.0167,0.3536,0.373165,1.36394,1.31406,0,0.0338043,0,-8.49219,0,16.4591,5.95908,0,0,0
0.0168,0.3536,0.373305,1.36394,1.31377,0,0.0340626,0,-8.44978,0,16.5751,6.48397,0,0,0
0.0169,0.3536,0.373443,1.36394,1.31349,0,0.0343214,0,-8.40655,0,16.6897,7.00534,0,0,0
0.017,0.3536,0.373581,1.36394,1.31321,0,0.0345808,0,-8.36252,0,16.8029,7.52292,0,0,0
0.0171,0.3536,0.373718,1.36394,1.31293,0,0.0348407,0,-8.31769,0,16.9147,8.03666,0,0,0
0.0172,0.3536,0.373854,1.36394,1.31266,0,0.0351006,0,-8.27207,0,17.0252,8.54662,0,0,0
0.0173,0.3536,0.373989,1.36394,1.31239,0,0.0353609,0,-8.22568,0,17.1342,9.05255,0,0,0
0.0174,0.3536,0.374123,1.36394,1.31213,0,0.0356215,0,-8.17853,0,17.2418,9.55466,0,0,0
0.0175,0.3536,0.374257,1.36394,1.31187,0,0.0358824,0,-8.13062,0,17.3479,10.0527,0,0,0
0.0176,0.3536,0.374389,1.36394,1.31161,0,0.0361434,0,-8.08197,0,17.4526,10.5468,0,0,0
0.0177,0.3536,0.374521,1.36394,1.31136,0,0.0364047,0,-8.03258,0,17.5557,11.0367,0,0,0
0.0178,0.3536,0.374652,1.36394,1.31112,0,0.0366662,0,-7.98247,0,17.6573,11.5227,0,0,0
0.0179,0.3536,0.374782,1.36394,1.31087,0,0.0369278,0,-7.93164,0,17.7573,12.0044,0,0,0
0.018,0.3536,0.374911,1.36394,1.31063,0,0.0371892,0,-7.88012,0,17.8559,12.4821,0,0,0
0.0181,0.3536,0.375039,1.36394,1.3104,0,0.037451,0,-7.8279,0,17.9528,12.9553,0,0,0
0.0182,0.3536,0.375166,1.36394,1.31017,0,0.0377126,0,-7.77499,0,18.0482,13.4246,0,0,0
0.0183,0.3536,0.375292,1.36394,1.30994,0,0.0379741,0,-7.72142,0,18.1419,13.8896,0,0,0
0.0184,0.3536,0.375417,1.36394,1.30972,0,0.0382358,0,-7.66718,0,18.2341,14.3502,0,0,0
0.0185,0.3536,0.375542,1.36394,1.3095,0,0.0384972,0,-7.6123,0,18.3245,14.8062,0,0,0
0.0186,0.3536,0.375665,1.36394,1.30929,0,0.0387585,0,-7.55677,0,18.4133,15.2582,0,0,0
0.0187,0.3536,0.375787,1.36394,1.30908,0,0.0390197,0,-7.50061,0,18.5005,15.7057,0,0,0
0.0188,0.3536,0.375908,1.36394,1.30888,0,0.0392807,0,-7.44384,0,18.5859,16.1486,0,0,0
0.0189,0.3536,0.376029,1.36394,1.30868,0,0.0395414,0,-7.38645,0,18.6696,16.5871,0,0,0
0.019,0.3536,0.376148,1.36394,1.30848,0,0.0398018,0,-7.32847,0,18.7516,17.0212,0,0,0
0.0191,0.3536,0.376266,1.36394,1.30829,0,0.040062,0,-7.26989,0,18.8319,17.4507,0,0,0
0.0192,0.3536,0.376383,1.36394,1.30811,0,0.0403217,0,-7.21075,0,18.9105,17.8758,0,0,0
0.0193,0.3536,0.3765,1.36394,1.30792,0,0.0405811,0,-7.15103,0,18.9872,18.2963,0,0,0
0.0194,0.3536,0.376615,1.36394,1.30775,0,0.04084,0,-7.09076,0,19.0621,18.712,0,0,0
0.0195,0.3536,0.376729,1.36394,1.30758,0,0.0410985,0,-7.02994,0,19.1353,19.1232,0,0,0
0.0196,0.3536,0.376842,1.36394,1.30741,0,0.0413563,0,-6.96859,0,19.2067,19.5298,0,0,0
0.0197,0.3536,0.376954,1.36394,1.30725,0,0.0416137,0,-6.90671,0,19.2762,19.9316,0,0,0
0.0198,0.3536,0.377065,1.36394,1.30709,0,0.0418706,0,-6.84433,0,19.3439,20.3287,0,0,0
0.0199,0.3536,0.377174,1.36394,1.30694,0,0.0421268,0,-6.78143,0,19.4098,20.7213,0,0,0
0.02,0.3536,0.377283,1.36394,1.30679,0,0.0423821,0,-6.71805,0,19.4737,21.1089,0,0,0
0.0201,0.3536,0.377391,1.36394,1.30665,0,0.0426369,0,-6.65418,0,19.5359,21.4919,0,0,0
0.0202,0.3536,0.377497,1.36394,1.30651,0,0.0428909,0,-6.58984,0,19.5961,21.87,0,0,0
0.0203,0.3536,0.377602,1.36394,1.30638,0,0.0431441,0,-6.52504,0,19.6545,22.2435,0,0,0
0.0204,0.3536,0.377707,1.36394,1.30625,0,0.0433965,0,-6.4598,0,19.7108,22.612,0,0,0
0.0205,0.3536,0.37781,1.36394,1.30613,0,0.0436485,0,-6.39436,0,19.7654,22.9757,0,0,0
0.0206,0.3536,0.377912,1.36394,1.30601,0,0.0438998,0,-6.32862,0,19.818,23.3347,0,0,0
0.0207,0.3536,0.378013,1.36394,1.3059,0,0.0441501,0,-6.26246,0,19.8685,23.6886,0,0,0
0.0208,0.3536,0.378112,1.36394,1.3058,0,0.0443994,0,-6.19589,0,19.9172,24.0377,0,0,0
0.0209,0.3536,0.378211,1.36394,1.30569,0,0.0446813,0,-6.12898,0,19.9639,24.382,0,0,0
0.021,0.3536,0.378308,1.36394,1.3056,0,0.0449561,0,-6.05316,0,20.0087,24.7215,0,0,0
0.0211,0.3536,0.378404,1.36394,1.3055,0,0.044472,0,-5.96043,0,20.0522,25.0562,0,0,173.753
0.0212,0.3536,0.378498,1.36394,1.30541,0,0.0450872,-1.41403,-5.79897,0,1718.36,874.518,1,3,273.69
0.0213,0.3536,0.378589,1.36394,1.30532,0,0.0456946,-1.41403,-5.6382,0,1657.68,844.476,1,0,274.002
0.0214,0.3536,0.378678,1.36394,1.30524,0,0.0462914,-1.41403,-5.47811,0,1597.21,814.535,1,0,274.468
0.0215,0.3536,0.378764,1.36394,1.30516,0,0.0468746,-1.41403,-5.3187,0,1536.96,784.695,1,0,275.056
0.0216,0.3536,0.378847,1.36394,1.30508,0,0.0474463,-1.41403,-5.15996,0,1476.94,754.956,1,0,275.535
0.0217,0.3536,0.378927,1.36394,1.30502,0,0.0480103,-1.41403,-5.00186,0,1417.12,725.314,1,0,275.848
0.0218,0.3536,0.379005,1.36394,1.30495,0,0.0485702,-1.41403,-4.84439,0,1357.52,695.768,1,0,276.007
0.0219,0.3536,0.37908,1.36394,1.30489,0,0.0491291,-1.41403,-4.68755,0,1298.12,666.317,1,0,276.026
0.022,0.3536,0.379153,1.36394,1.30484,0,0.0496899,-1.41403,-4.53133,0,1238.92,636.959,1,0,275.917
0.0221,0.3536,0.379223,1.36394,1.30479,0,0.0502537,-1.41403,-4.37572,0,1179.93,607.693,1,0,275.77
0.0222,0.3536,0.379291,1.36394,1.30474,0,0.0508207,-1.41403,-4.22073,0,1121.14,578.521,1,0,275.624
0.0223,0.3536,0.379356,1.36394,1.3047,0,0.0513908,-1.41403,-4.06634,0,1062.55,549.442,1,0,275.478
0.0224,0.3536,0.379418,1.36394,1.30467,0,0.0519639,-1.41403,-3.91256,0,1004.17,520.457,1,0,275.333
0.0225,0.3536,0.379478,1.36394,1.30463,0,0.0525401,-1.41403,-3.75938,0,945.987,491.565,1,0,275.188
0.0226,0.3536,0.379535,1.36394,1.30461,0,0.0531194,-1.41403,-3.6068,0,888.01,462.766,1,0,275.044
0.0227,0.3536,0.37959,1.36394,1.30458,0,0.0537018,-1.41403,-3.45482,0,830.236,434.062,1,0,274.901
0.0228,0.3536,0.379642,1.36394,1.30457,0,0.0542872,-1.41403,-3.30343,0,772.666,405.45,1,0,274.758
0.0229,0.3536,0.379692,1.36394,1.30455,0,0.0548757,-1.41403,-3.15263,0,715.298,376.932,1,0,274.615
